country,date,day,month,price,timesviewed,year
Australia,2017-12-03,504,198,40.400000000000006,97,36306
Australia,2017-12-10,18,48,12.600000000000001,9,8068
Australia,2017-12-17,75,60,6.65,40,10085
Australia,2017-12-24,0,0,0.0,0,0
Australia,2017-12-31,0,0,0.0,0,0
Australia,2018-01-07,0,0,0.0,0,0
Australia,2018-01-14,0,0,0.0,0,0
Australia,2018-01-21,0,0,0.0,0,0
Australia,2018-01-28,0,0,0.0,0,0
Australia,2018-02-04,0,0,0.0,0,0
Australia,2018-02-11,165,30,27.749999999999996,144,30270
Australia,2018-02-18,198,22,16.88,132,22198
Australia,2018-02-25,114,12,15.600000000000001,74,12108
Australia,2018-03-04,17,51,51.74,136,34306
Australia,2018-03-11,0,0,0.0,0,0
Australia,2018-03-18,0,0,0.0,0,0
Australia,2018-03-25,40,6,2.9,24,4036
Australia,2018-04-01,0,0,0.0,0,0
Australia,2018-04-08,50,40,10.83,111,20180
Australia,2018-04-15,0,0,0.0,0,0
Australia,2018-04-22,0,0,0.0,0,0
Australia,2018-04-29,168,28,35.25,49,14126
Australia,2018-05-06,90,150,2188.3199999999997,194,60540
Australia,2018-05-13,0,0,0.0,0,0
Australia,2018-05-20,540,150,100.05000000000004,245,60540
Australia,2018-05-27,21,5,7.49,8,2018
Australia,2018-06-03,1,6,8.5,4,2018
Australia,2018-06-10,90,90,25.95,170,30270
Australia,2018-06-17,0,0,0.0,0,0
Australia,2018-06-24,160,48,25.840000000000003,88,16144
Australia,2018-07-01,2377,528,253.15999999999985,914,177584
Australia,2018-07-08,30,70,68.2,30,20180
Australia,2018-07-15,102,56,35.95,29,16144
Australia,2018-07-22,0,0,0.0,0,0
Australia,2018-07-29,27,7,55.0,1,2018
Australia,2018-08-05,0,0,0.0,0,0
Australia,2018-08-12,0,0,0.0,0,0
Australia,2018-08-19,98,56,18.849999999999998,74,14126
Australia,2018-08-26,0,0,0.0,0,0
Australia,2018-09-02,30,8,6.35,20,2018
Australia,2018-09-09,0,0,0.0,0,0
Australia,2018-09-16,0,0,0.0,0,0
Australia,2018-09-23,340,180,63.220000000000006,171,40360
Australia,2018-09-30,0,0,0.0,0,0
Australia,2018-10-07,106,220,60.910000000000025,178,44396
Australia,2018-10-14,662,630,112.34,617,127134
Australia,2018-10-21,369,210,66.91,164,42378
Australia,2018-10-28,805,350,133.74999999999997,232,70630
Australia,2018-11-04,696,296,81.70000000000003,304,58522
Australia,2018-11-11,0,0,0.0,0,0
Australia,2018-11-18,13,11,1.25,4,2018
Australia,2018-11-25,913,517,139.17,396,94846
Australia,2018-12-02,3358,1397,434.89999999999975,1226,256286
Australia,2018-12-09,80,192,43.62,179,32288
Australia,2018-12-16,173,156,47.95,105,26234
Australia,2018-12-23,0,0,0.0,0,0
Australia,2018-12-30,0,0,0.0,0,0
Australia,2019-01-06,144,48,88.18000000000004,595,96912
Australia,2019-01-13,192,23,51.150000000000006,200,46437
Australia,2019-01-20,542,36,107.85000000000004,303,72684
Australia,2019-01-27,500,20,91.75999999999999,110,40380
Australia,2019-02-03,0,0,0.0,0,0
Australia,2019-02-10,48,24,47.50000000000001,73,24228
Australia,2019-02-17,828,138,191.73,785,139311
Australia,2019-02-24,240,20,34.4,53,20190
Australia,2019-03-03,2352,168,261.56999999999994,1014,169596
Australia,2019-03-10,60,30,25.3,90,20190
Australia,2019-03-17,0,0,0.0,0,0
Australia,2019-03-24,336,48,85.7,77,32304
Australia,2019-03-31,29,3,350.0,1,2019
Australia,2019-04-07,86,72,42.3,113,36342
Australia,2019-04-14,0,0,0.0,0,0
Australia,2019-04-21,0,0,0.0,0,0
Australia,2019-04-28,25,4,4.25,2,2019
Australia,2019-05-05,0,0,0.0,0,0
Australia,2019-05-12,207,115,95.72000000000001,152,46437
Australia,2019-05-19,1090,385,216.31000000000003,849,155463
Australia,2019-05-26,340,85,69.19,110,34323
Australia,2019-06-02,88,15,11.45,9,6057
Australia,2019-06-09,0,0,0.0,0,0
Australia,2019-06-16,1668,834,286.96,1659,280641
Australia,2019-06-23,0,0,0.0,0,0
Australia,2019-06-30,810,180,83.42000000000003,282,60570
Australia,2019-07-07,0,0,0.0,0,0
Australia,2019-07-14,615,406,119.25000000000001,611,117102
Australia,2019-07-21,2612,1099,405.9499999999994,495,316983
Australia,2019-07-28,46,14,2.71,22,4038
