country,date,day,month,price,timesviewed,year
Austria,2017-12-10,85,204,95.84000000000002,122,34289
Austria,2017-12-17,0,0,0.0,0,0
Austria,2017-12-24,399,252,95.56,162,42357
Austria,2017-12-31,0,0,0.0,0,0
Austria,2018-01-07,0,0,0.0,0,0
Austria,2018-01-14,0,0,0.0,0,0
Austria,2018-01-21,0,0,0.0,0,0
Austria,2018-01-28,0,0,0.0,0,0
Austria,2018-02-04,21,42,92.80000000000001,171,42378
Austria,2018-02-11,150,50,129.57999999999998,162,50450
Austria,2018-02-18,0,0,0.0,0,0
Austria,2018-02-25,190,20,14.6,106,20180
Austria,2018-03-04,0,0,0.0,0,0
Austria,2018-03-11,45,27,51.739999999999995,92,18162
Austria,2018-03-18,0,0,0.0,0,0
Austria,2018-03-25,593,81,213.82999999999996,192,54486
Austria,2018-04-01,0,0,0.0,0,0
Austria,2018-04-08,0,0,0.0,0,0
Austria,2018-04-15,0,0,0.0,0,0
Austria,2018-04-22,0,0,0.0,0,0
Austria,2018-04-29,972,144,65.52000000000001,416,72648
Austria,2018-05-06,0,0,0.0,0,0
Austria,2018-05-13,0,0,0.0,0,0
Austria,2018-05-20,0,0,0.0,0,0
Austria,2018-05-27,770,175,116.55000000000001,364,70630
Austria,2018-06-03,0,0,0.0,0,0
Austria,2018-06-10,72,108,24.649999999999995,149,36324
Austria,2018-06-17,0,0,0.0,0,0
Austria,2018-06-24,0,0,0.0,0,0
Austria,2018-07-01,0,0,0.0,0,0
Austria,2018-07-08,0,0,0.0,0,0
Austria,2018-07-15,0,0,0.0,0,0
Austria,2018-07-22,0,0,0.0,0,0
Austria,2018-07-29,0,0,0.0,0,0
Austria,2018-08-05,0,0,0.0,0,0
Austria,2018-08-12,0,0,0.0,0,0
Austria,2018-08-19,1054,496,142.9,555,125116
Austria,2018-08-26,0,0,0.0,0,0
Austria,2018-09-02,911,240,555.8599999999999,159,60540
Austria,2018-09-09,15,27,15.45,5,6054
Austria,2018-09-16,975,675,183.55999999999995,706,151350
Austria,2018-09-23,0,0,0.0,0,0
Austria,2018-09-30,252,81,73.70000000000002,43,18162
Austria,2018-10-07,0,0,0.0,0,0
Austria,2018-10-14,154,140,83.95,143,28252
Austria,2018-10-21,171,90,57.55,70,18162
Austria,2018-10-28,0,0,0.0,0,0
Austria,2018-11-04,24,132,68.69,122,24216
Austria,2018-11-11,378,462,67.07000000000001,441,84756
Austria,2018-11-18,0,0,0.0,0,0
Austria,2018-11-25,896,429,197.75999999999996,265,78702
Austria,2018-12-02,598,253,135.64000000000004,220,46414
Austria,2018-12-09,0,0,0.0,0,0
Austria,2018-12-16,124,108,65.12,53,18162
Austria,2018-12-23,0,0,0.0,0,0
Austria,2018-12-30,0,0,0.0,0,0
Austria,2019-01-06,0,0,0.0,0,0
Austria,2019-01-13,0,0,0.0,0,0
Austria,2019-01-20,0,0,0.0,0,0
Austria,2019-01-27,0,0,0.0,0,0
Austria,2019-02-03,616,21,110.61000000000004,209,42399
Austria,2019-02-10,0,0,0.0,0,0
Austria,2019-02-17,0,0,0.0,0,0
Austria,2019-02-24,0,0,0.0,0,0
Austria,2019-03-03,112,8,48.29,40,8076
Austria,2019-03-10,0,0,0.0,0,0
Austria,2019-03-17,0,0,0.0,0,0
Austria,2019-03-24,280,42,94.57000000000001,155,28266
Austria,2019-03-31,0,0,0.0,0,0
Austria,2019-04-07,0,0,0.0,0,0
Austria,2019-04-14,0,0,0.0,0,0
Austria,2019-04-21,0,0,0.0,0,0
Austria,2019-04-28,598,104,163.17999999999998,208,52494
Austria,2019-05-05,18,30,58.95000000000001,42,12114
Austria,2019-05-12,0,0,0.0,0,0
Austria,2019-05-19,0,0,0.0,0,0
Austria,2019-05-26,900,225,164.62999999999997,378,90855
Austria,2019-06-02,0,0,0.0,0,0
Austria,2019-06-09,0,0,0.0,0,0
Austria,2019-06-16,22,12,7.2,3,4038
Austria,2019-06-23,0,0,0.0,0,0
Austria,2019-06-30,0,0,0.0,0,0
Austria,2019-07-07,0,0,0.0,0,0
Austria,2019-07-14,108,84,92.63000000000001,100,24228
Austria,2019-07-21,0,0,0.0,0,0
Austria,2019-07-28,1075,301,102.91000000000003,404,86817
