country,date,day,month,price,timesviewed,year
Belgium,2017-12-03,82,227,208.24999999999994,124,38323
Belgium,2017-12-10,7,12,0.85,10,2017
Belgium,2017-12-17,0,0,0.0,0,0
Belgium,2017-12-24,0,0,0.0,0,0
Belgium,2017-12-31,0,0,0.0,0,0
Belgium,2018-01-07,140,28,121.40000000000002,200,56504
Belgium,2018-01-14,706,59,213.3099999999999,455,119062
Belgium,2018-01-21,0,0,0.0,0,0
Belgium,2018-01-28,161,7,28.5,45,14126
Belgium,2018-02-04,44,22,35.95,87,22198
Belgium,2018-02-11,0,0,0.0,0,0
Belgium,2018-02-18,636,106,3166.2299999999987,461,106954
Belgium,2018-02-25,0,0,0.0,0,0
Belgium,2018-03-04,120,140,373.6000000000001,338,94846
Belgium,2018-03-11,0,0,0.0,0,0
Belgium,2018-03-18,0,0,0.0,0,0
Belgium,2018-03-25,0,0,0.0,0,0
Belgium,2018-04-01,406,42,63.370000000000005,85,28252
Belgium,2018-04-08,0,0,0.0,0,0
Belgium,2018-04-15,940,280,199.67,614,141260
Belgium,2018-04-22,18,4,12.75,2,2018
Belgium,2018-04-29,800,128,100.05999999999996,286,64576
Belgium,2018-05-06,38,35,28.799999999999997,39,14126
Belgium,2018-05-13,0,0,0.0,0,0
Belgium,2018-05-20,0,0,0.0,0,0
Belgium,2018-05-27,0,0,0.0,0,0
Belgium,2018-06-03,806,130,83.33000000000003,218,52468
Belgium,2018-06-10,0,0,0.0,0,0
Belgium,2018-06-17,224,96,164.35,49,32288
Belgium,2018-06-24,360,108,60.78999999999999,139,36324
Belgium,2018-07-01,2028,468,430.99999999999983,700,157404
Belgium,2018-07-08,138,224,70.21,328,64576
Belgium,2018-07-15,0,0,0.0,0,0
Belgium,2018-07-22,1134,434,209.6699999999999,525,125116
Belgium,2018-07-29,260,70,32.97,100,20180
Belgium,2018-08-05,480,112,56.190000000000005,127,32288
Belgium,2018-08-12,0,0,0.0,0,0
Belgium,2018-08-19,323,136,53.45,155,34306
Belgium,2018-08-26,0,0,0.0,0,0
Belgium,2018-09-02,1446,408,150.31000000000006,480,102918
Belgium,2018-09-09,108,162,78.86000000000001,115,36324
Belgium,2018-09-16,300,225,64.24000000000002,235,50450
Belgium,2018-09-23,289,153,87.55,100,34306
Belgium,2018-09-30,25,9,0.85,3,2018
Belgium,2018-10-07,15,50,25.299999999999997,35,10090
Belgium,2018-10-14,410,380,184.50999999999993,283,76684
Belgium,2018-10-21,0,0,0.0,0,0
Belgium,2018-10-28,842,350,176.82999999999993,209,70630
Belgium,2018-11-04,31,10,1.25,3,2018
Belgium,2018-11-11,470,704,175.66999999999987,535,129152
Belgium,2018-11-18,1418,1012,264.8999999999999,908,185656
Belgium,2018-11-25,1556,781,264.3699999999999,578,143278
Belgium,2018-12-02,720,264,74.82000000000001,222,48432
Belgium,2018-12-09,0,0,0.0,0,0
Belgium,2018-12-16,420,360,144.71999999999997,220,60540
Belgium,2018-12-23,991,636,91.22000000000001,608,106954
Belgium,2018-12-30,0,0,0.0,0,0
Belgium,2019-01-06,11,4,22.2,4,8076
Belgium,2019-01-13,279,31,73.20999999999998,310,62589
Belgium,2019-01-20,203,12,39.95000000000001,95,24228
Belgium,2019-01-27,352,16,90.47000000000001,94,32304
Belgium,2019-02-03,186,6,64.45,21,12114
Belgium,2019-02-10,142,38,83.67,157,38361
Belgium,2019-02-17,911,130,213.3499999999999,498,131235
Belgium,2019-02-24,532,54,73.54000000000003,251,54513
Belgium,2019-03-03,1283,96,274.47999999999996,295,96912
Belgium,2019-03-10,14,6,10.15,7,4038
Belgium,2019-03-17,420,90,119.0,237,60570
Belgium,2019-03-24,1716,258,270.1999999999998,808,173634
Belgium,2019-03-31,0,0,0.0,0,0
Belgium,2019-04-07,279,200,148.20000000000005,390,100950
Belgium,2019-04-14,321,128,113.50000000000003,255,64608
Belgium,2019-04-21,180,48,42.980000000000004,112,24228
Belgium,2019-04-28,725,116,84.13000000000001,230,58551
Belgium,2019-05-05,85,160,114.33000000000003,254,64608
Belgium,2019-05-12,271,175,98.36000000000001,323,70665
Belgium,2019-05-19,252,90,62.78000000000001,168,36342
Belgium,2019-05-26,1418,320,229.49000000000007,461,129216
Belgium,2019-06-02,287,451,340.5599999999999,536,153444
Belgium,2019-06-09,199,276,163.47000000000006,359,92874
Belgium,2019-06-16,728,312,136.23,487,104988
Belgium,2019-06-23,900,276,138.21000000000004,394,92874
Belgium,2019-06-30,296,66,36.400000000000006,72,22209
Belgium,2019-07-07,179,371,187.63999999999996,481,107007
Belgium,2019-07-14,20,14,17.55,13,4038
Belgium,2019-07-21,0,0,0.0,0,0
Belgium,2019-07-28,1780,518,270.20999999999987,558,149406
Belgium,2019-08-04,1170,273,171.79999999999995,242,78741
