country,date,day,month,price,timesviewed,year
Canada,2018-10-28,1150,500,80.11999999999998,561,100900
Canada,2018-11-04,0,0,0.0,0,0
Canada,2018-11-11,135,297,67.39000000000001,209,54486
Canada,2018-11-18,0,0,0.0,0,0
Canada,2018-11-25,0,0,0.0,0,0
Canada,2018-12-02,0,0,0.0,0,0
Canada,2018-12-09,0,0,0.0,0,0
Canada,2018-12-16,0,0,0.0,0,0
Canada,2018-12-23,0,0,0.0,0,0
Canada,2018-12-30,0,0,0.0,0,0
Canada,2019-01-06,0,0,0.0,0,0
Canada,2019-01-13,0,0,0.0,0,0
Canada,2019-01-20,0,0,0.0,0,0
Canada,2019-01-27,0,0,0.0,0,0
Canada,2019-02-03,0,0,0.0,0,0
Canada,2019-02-10,0,0,0.0,0,0
Canada,2019-02-17,0,0,0.0,0,0
Canada,2019-02-24,0,0,0.0,0,0
Canada,2019-03-03,0,0,0.0,0,0
Canada,2019-03-10,0,0,0.0,0,0
Canada,2019-03-17,110,30,20.63,84,20190
Canada,2019-03-24,0,0,0.0,0,0
Canada,2019-03-31,0,0,0.0,0,0
Canada,2019-04-07,0,0,0.0,0,0
Canada,2019-04-14,0,0,0.0,0,0
Canada,2019-04-21,0,0,0.0,0,0
Canada,2019-04-28,0,0,0.0,0,0
Canada,2019-05-05,1,5,1.06,14,2019
Canada,2019-05-12,0,0,0.0,0,0
Canada,2019-05-19,0,0,0.0,0,0
Canada,2019-05-26,0,0,0.0,0,0
Canada,2019-06-02,0,0,0.0,0,0
Canada,2019-06-09,0,0,0.0,0,0
Canada,2019-06-16,0,0,0.0,0,0
Canada,2019-06-23,969,342,162.18000000000004,505,115083
Canada,2019-06-30,0,0,0.0,0,0
Canada,2019-07-07,0,0,0.0,0,0
Canada,2019-07-14,628,546,721.7200000000001,749,157482
