country,date,day,month,price,timesviewed,year
Denmark,2017-12-03,29,11,2.1,15,2017
Denmark,2017-12-10,10,24,9.7,3,4034
Denmark,2017-12-17,96,96,57.879999999999995,63,16136
Denmark,2017-12-24,0,0,0.0,0,0
Denmark,2017-12-31,0,0,0.0,0,0
Denmark,2018-01-07,0,0,0.0,0,0
Denmark,2018-01-14,200,25,62.45000000000001,318,50450
Denmark,2018-01-21,270,15,2.0700000000000003,190,30270
Denmark,2018-01-28,0,0,0.0,0,0
Denmark,2018-02-04,0,0,0.0,0,0
Denmark,2018-02-11,0,0,0.0,0,0
Denmark,2018-02-18,388,64,9.700000000000003,423,64576
Denmark,2018-02-25,0,0,0.0,0,0
Denmark,2018-03-04,0,0,0.0,0,0
Denmark,2018-03-11,135,45,38.67000000000001,159,30270
Denmark,2018-03-18,140,30,1.9,109,20180
Denmark,2018-03-25,0,0,0.0,0,0
Denmark,2018-04-01,0,0,0.0,0,0
Denmark,2018-04-08,0,0,0.0,0,0
Denmark,2018-04-15,0,0,0.0,0,0
Denmark,2018-04-22,190,40,22.939999999999998,109,20180
Denmark,2018-04-29,0,0,0.0,0,0
Denmark,2018-05-06,0,0,0.0,0,0
Denmark,2018-05-13,0,0,0.0,0,0
Denmark,2018-05-20,0,0,0.0,0,0
Denmark,2018-05-27,0,0,0.0,0,0
Denmark,2018-06-03,0,0,0.0,0,0
Denmark,2018-06-10,200,150,64.24000000000001,281,50450
Denmark,2018-06-17,913,378,143.6099999999999,702,127134
Denmark,2018-06-24,21,6,2.95,2,2018
Denmark,2018-07-01,0,0,0.0,0,0
Denmark,2018-07-08,12,28,28.53,30,8072
Denmark,2018-07-15,0,0,0.0,0,0
Denmark,2018-07-22,0,0,0.0,0,0
Denmark,2018-07-29,0,0,0.0,0,0
Denmark,2018-08-05,0,0,0.0,0,0
Denmark,2018-08-12,156,208,60.140000000000015,260,52468
Denmark,2018-08-19,554,280,89.87000000000003,358,70630
Denmark,2018-08-26,0,0,0.0,0,0
Denmark,2018-09-02,364,104,66.80000000000001,82,26234
Denmark,2018-09-09,0,0,0.0,0,0
Denmark,2018-09-16,0,0,0.0,0,0
Denmark,2018-09-23,651,279,67.51000000000002,327,62558
Denmark,2018-09-30,216,81,8.93,108,18162
Denmark,2018-10-07,4,10,0.42,3,2018
Denmark,2018-10-14,136,170,72.24999999999999,147,34306
Denmark,2018-10-21,0,0,0.0,0,0
Denmark,2018-10-28,22,10,18.0,5,2018
Denmark,2018-11-04,322,376,101.54000000000002,363,70630
Denmark,2018-11-11,140,308,98.12000000000002,357,56504
Denmark,2018-11-18,13,11,7.65,4,2018
Denmark,2018-11-25,0,0,0.0,0,0
Denmark,2018-12-02,0,0,0.0,0,0
Denmark,2018-12-09,240,480,185.93999999999997,450,80720
Denmark,2018-12-16,0,0,0.0,0,0
Denmark,2018-12-23,0,0,0.0,0,0
Denmark,2018-12-30,0,0,0.0,0,0
Denmark,2019-01-06,0,0,0.0,0,0
Denmark,2019-01-13,0,0,0.0,0,0
Denmark,2019-01-20,0,0,0.0,0,0
Denmark,2019-01-27,0,0,0.0,0,0
Denmark,2019-02-03,0,0,0.0,0,0
Denmark,2019-02-10,0,0,0.0,0,0
Denmark,2019-02-17,260,40,63.93000000000002,187,40380
Denmark,2019-02-24,0,0,0.0,0,0
Denmark,2019-03-03,0,0,0.0,0,0
Denmark,2019-03-10,0,0,0.0,0,0
Denmark,2019-03-17,266,57,122.21000000000002,189,38361
Denmark,2019-03-24,0,0,0.0,0,0
Denmark,2019-03-31,0,0,0.0,0,0
Denmark,2019-04-07,0,0,0.0,0,0
Denmark,2019-04-14,0,0,0.0,0,0
Denmark,2019-04-21,0,0,0.0,0,0
Denmark,2019-04-28,0,0,0.0,0,0
Denmark,2019-05-05,0,0,0.0,0,0
Denmark,2019-05-12,152,95,50.660000000000004,199,38361
Denmark,2019-05-19,0,0,0.0,0,0
Denmark,2019-05-26,0,0,0.0,0,0
Denmark,2019-06-02,0,0,0.0,0,0
Denmark,2019-06-09,294,294,149.14,524,98931
Denmark,2019-06-16,0,0,0.0,0,0
Denmark,2019-06-23,1053,342,165.34000000000003,581,115083
Denmark,2019-06-30,0,0,0.0,0,0
Denmark,2019-07-07,0,0,0.0,0,0
Denmark,2019-07-14,0,0,0.0,0,0
Denmark,2019-07-21,0,0,0.0,0,0
Denmark,2019-07-28,374,119,43.32,196,34323
