country,date,day,month,price,timesviewed,year
EIRE,2017-12-03,3398,1309,570.2100000000003,737,240023
EIRE,2017-12-10,695,1548,832.4500000000007,895,260193
EIRE,2017-12-17,4277,3756,2952.739999999991,2232,631321
EIRE,2017-12-24,630,420,77.69000000000003,408,70595
EIRE,2017-12-31,0,0,0.0,0,0
EIRE,2018-01-07,819,198,2944.2200000000007,2090,399564
EIRE,2018-01-14,38,4,1885.3700000000001,17,8072
EIRE,2018-01-21,4608,255,6378.659999999988,2050,514590
EIRE,2018-01-28,3050,123,2071.9100000000003,963,248214
EIRE,2018-02-04,3346,175,1610.860000000002,1435,284538
EIRE,2018-02-11,357,90,954.9900000000001,347,90810
EIRE,2018-02-18,2955,410,743.4000000000008,1490,413690
EIRE,2018-02-25,2729,262,488.9599999999998,1039,264358
EIRE,2018-03-04,2985,458,580.1300000000001,1797,377366
EIRE,2018-03-11,612,234,432.82000000000005,532,157404
EIRE,2018-03-18,2689,573,874.4000000000012,1354,385438
EIRE,2018-03-25,4313,606,2705.0799999999913,1302,407636
EIRE,2018-04-01,2187,243,365.5699999999999,559,163458
EIRE,2018-04-08,60,60,74.54000000000002,122,30270
EIRE,2018-04-15,1462,584,382.8199999999998,1563,294628
EIRE,2018-04-22,4305,960,981.7900000000008,1997,484320
EIRE,2018-04-29,7042,1104,1603.4000000000024,2337,556968
EIRE,2018-05-06,1646,2145,1981.5500000000022,3445,865722
EIRE,2018-05-13,1080,675,578.8300000000002,1075,272430
EIRE,2018-05-20,1724,550,562.14,799,221980
EIRE,2018-05-27,2239,500,409.83000000000004,754,201800
EIRE,2018-06-03,2294,370,229.22999999999996,724,149332
EIRE,2018-06-10,574,432,320.78999999999996,570,145296
EIRE,2018-06-17,3060,1536,1056.000000000001,2128,516608
EIRE,2018-06-24,3524,1026,960.6100000000015,1184,345078
EIRE,2018-07-01,3639,798,707.5800000000002,960,268394
EIRE,2018-07-08,1121,1680,803.4699999999999,2182,484320
EIRE,2018-07-15,3281,2072,1359.620000000002,2417,597328
EIRE,2018-07-22,754,294,247.5499999999999,280,84756
EIRE,2018-07-29,1578,434,1527.0300000000009,491,125116
EIRE,2018-08-05,2091,1205,574.83,1064,318844
EIRE,2018-08-12,1493,1152,725.0400000000001,1155,290592
EIRE,2018-08-19,3738,1792,879.4400000000015,2053,452032
EIRE,2018-08-26,1829,696,388.57999999999976,652,175566
EIRE,2018-09-02,2905,1234,569.6600000000002,1107,298664
EIRE,2018-09-09,655,1305,665.2899999999996,1102,292610
EIRE,2018-09-16,1535,1161,439.20999999999975,1242,260322
EIRE,2018-09-23,4248,2115,1237.7900000000025,2210,474230
EIRE,2018-09-30,17815,5949,5974.200000000003,6100,1333898
EIRE,2018-10-07,333,1100,5536.509999999995,821,221980
EIRE,2018-10-14,3386,3080,1290.5400000000018,2324,621544
EIRE,2018-10-21,6459,3780,3354.46,3026,762804
EIRE,2018-10-28,9703,4110,9256.800000000005,3704,829398
EIRE,2018-11-04,4151,3041,1136.0900000000022,2487,581184
EIRE,2018-11-11,1484,2420,892.0600000000013,2034,443960
EIRE,2018-11-18,6426,5335,1973.3300000000027,3864,978730
EIRE,2018-11-25,1940,1001,556.9500000000002,709,183638
EIRE,2018-12-02,7412,2805,1249.8400000000013,2101,514590
EIRE,2018-12-09,957,2244,1010.4500000000019,1407,377366
EIRE,2018-12-16,1539,1308,554.1200000000001,907,219962
EIRE,2018-12-23,1199,792,309.9599999999999,349,133188
EIRE,2018-12-30,0,0,0.0,0,0
EIRE,2019-01-06,108,28,173.47,125,56532
EIRE,2019-01-13,458,42,131.93999999999994,428,84798
EIRE,2019-01-20,507,31,140.01999999999998,346,62589
EIRE,2019-01-27,2015,88,409.1799999999996,705,177672
EIRE,2019-02-03,2588,112,472.9699999999998,705,199881
EIRE,2019-02-10,10,4,19.9,3,4038
EIRE,2019-02-17,3196,542,877.6600000000009,1981,547149
EIRE,2019-02-24,1278,136,272.8399999999999,555,137292
EIRE,2019-03-03,259,239,261.8199999999998,739,165558
EIRE,2019-03-10,473,201,7004.25,695,135273
EIRE,2019-03-17,3485,837,1209.810000000002,2262,563301
EIRE,2019-03-24,1354,186,249.89999999999978,478,125178
EIRE,2019-03-31,3872,426,605.1700000000005,1166,286698
EIRE,2019-04-07,356,508,458.17999999999984,1066,256413
EIRE,2019-04-14,838,344,386.8299999999999,592,173634
EIRE,2019-04-21,336,84,93.71000000000002,196,42399
EIRE,2019-04-28,120,20,58.5,46,10095
EIRE,2019-05-05,2393,737,634.7400000000002,1263,325059
EIRE,2019-05-12,482,280,288.33999999999986,419,113064
EIRE,2019-05-19,4521,1585,1384.3700000000022,2463,640023
EIRE,2019-05-26,1749,415,349.1499999999997,619,167577
EIRE,2019-06-02,29,5,7.5,1,2019
EIRE,2019-06-09,800,1026,652.5299999999999,1582,345249
EIRE,2019-06-16,1907,918,693.4299999999998,1254,308907
EIRE,2019-06-23,3708,1134,8102.319999999985,1302,381591
EIRE,2019-06-30,5534,1266,819.4800000000006,1713,426009
EIRE,2019-07-07,75,448,376.07999999999987,480,129216
EIRE,2019-07-14,836,532,359.1899999999998,578,153444
EIRE,2019-07-21,4541,1988,947.7200000000009,2843,573396
EIRE,2019-07-28,6228,1666,796.8199999999999,2338,480522
