country,date,day,month,price,timesviewed,year
European Community,2019-04-28,253,44,87.9,34,22209
European Community,2019-05-05,0,0,0.0,0,0
European Community,2019-05-12,0,0,0.0,0,0
European Community,2019-05-19,0,0,0.0,0,0
European Community,2019-05-26,0,0,0.0,0,0
European Community,2019-06-02,38,114,93.94999999999999,127,38361
European Community,2019-06-09,10,12,19.25,4,4038
European Community,2019-06-16,0,0,0.0,0,0
European Community,2019-06-23,0,0,0.0,0,0
European Community,2019-06-30,0,0,0.0,0,0
European Community,2019-07-07,0,0,0.0,0,0
European Community,2019-07-14,0,0,0.0,0,0
European Community,2019-07-21,522,203,92.95,296,58551
