country,date,day,month,price,timesviewed,year
Finland,2017-12-10,40,48,50.89,31,8068
Finland,2017-12-17,0,0,0.0,0,0
Finland,2017-12-24,0,0,0.0,0,0
Finland,2017-12-31,0,0,0.0,0,0
Finland,2018-01-07,0,0,0.0,0,0
Finland,2018-01-14,384,32,108.96000000000001,255,64576
Finland,2018-01-21,0,0,0.0,0,0
Finland,2018-01-28,69,3,205.89,6,6054
Finland,2018-02-04,0,0,0.0,0,0
Finland,2018-02-11,0,0,0.0,0,0
Finland,2018-02-18,0,0,0.0,0,0
Finland,2018-02-25,0,0,0.0,0,0
Finland,2018-03-04,0,0,0.0,0,0
Finland,2018-03-11,0,0,0.0,0,0
Finland,2018-03-18,0,0,0.0,0,0
Finland,2018-03-25,0,0,0.0,0,0
Finland,2018-04-01,0,0,0.0,0,0
Finland,2018-04-08,0,0,0.0,0,0
Finland,2018-04-15,0,0,0.0,0,0
Finland,2018-04-22,1278,284,225.78999999999994,609,143278
Finland,2018-04-29,0,0,0.0,0,0
Finland,2018-05-06,2,10,9.9,4,4036
Finland,2018-05-13,424,265,183.57000000000002,348,106954
Finland,2018-05-20,0,0,0.0,0,0
Finland,2018-05-27,0,0,0.0,0,0
Finland,2018-06-03,0,0,0.0,0,0
Finland,2018-06-10,280,168,96.77,180,56504
Finland,2018-06-17,0,0,0.0,0,0
Finland,2018-06-24,0,0,0.0,0,0
Finland,2018-07-01,0,0,0.0,0,0
Finland,2018-07-08,0,0,0.0,0,0
Finland,2018-07-15,40,28,50.89,20,8072
Finland,2018-07-22,336,147,75.05000000000001,200,42378
Finland,2018-07-29,0,0,0.0,0,0
Finland,2018-08-05,0,0,0.0,0,0
Finland,2018-08-12,0,0,0.0,0,0
Finland,2018-08-19,0,0,0.0,0,0
Finland,2018-08-26,0,0,0.0,0,0
Finland,2018-09-02,0,0,0.0,0,0
Finland,2018-09-09,228,342,82.25000000000001,340,76684
Finland,2018-09-16,0,0,0.0,0,0
Finland,2018-09-23,0,0,0.0,0,0
Finland,2018-09-30,1264,432,100.73000000000002,434,96864
Finland,2018-10-07,3,30,5.45,5,6054
Finland,2018-10-14,280,280,98.45,255,56504
Finland,2018-10-21,0,0,0.0,0,0
Finland,2018-10-28,0,0,0.0,0,0
Finland,2018-11-04,38,209,153.17,163,38342
Finland,2018-11-11,0,0,0.0,0,0
Finland,2018-11-18,0,0,0.0,0,0
Finland,2018-11-25,0,0,0.0,0,0
Finland,2018-12-02,0,0,0.0,0,0
Finland,2018-12-09,0,0,0.0,0,0
Finland,2018-12-16,221,204,49.599999999999994,197,34306
Finland,2018-12-23,0,0,0.0,0,0
Finland,2018-12-30,0,0,0.0,0,0
Finland,2019-01-06,0,0,0.0,0,0
Finland,2019-01-13,0,0,0.0,0,0
Finland,2019-01-20,90,5,54.64,41,10095
Finland,2019-01-27,132,6,42.01,43,12114
Finland,2019-02-03,0,0,0.0,0,0
Finland,2019-02-10,0,0,0.0,0,0
Finland,2019-02-17,0,0,0.0,0,0
Finland,2019-02-24,252,24,54.46999999999999,124,24228
Finland,2019-03-03,5044,388,873.6400000000017,1714,391686
Finland,2019-03-10,0,0,0.0,0,0
Finland,2019-03-17,170,30,92.65,63,20190
Finland,2019-03-24,36,6,12.2,5,4038
Finland,2019-03-31,270,30,44.24999999999999,106,20190
Finland,2019-04-07,22,32,85.78,31,16152
Finland,2019-04-14,288,124,131.33,254,62589
Finland,2019-04-21,72,16,52.05,45,8076
Finland,2019-04-28,0,0,0.0,0,0
Finland,2019-05-05,0,0,0.0,0,0
Finland,2019-05-12,0,0,0.0,0,0
Finland,2019-05-19,0,0,0.0,0,0
Finland,2019-05-26,0,0,0.0,0,0
Finland,2019-06-02,0,0,0.0,0,0
Finland,2019-06-09,0,0,0.0,0,0
Finland,2019-06-16,0,0,0.0,0,0
Finland,2019-06-23,260,78,71.13000000000002,129,26247
Finland,2019-06-30,0,0,0.0,0,0
Finland,2019-07-07,40,140,103.85,201,40380
Finland,2019-07-14,594,378,191.39,520,109026
Finland,2019-07-21,144,63,57.89999999999999,98,18171
