country,date,day,month,price,timesviewed,year
France,2017-12-03,3020,1771,613.53,1115,314652
France,2017-12-10,1020,1512,463.9800000000001,853,254142
France,2017-12-17,782,552,81.32999999999998,498,92782
France,2017-12-24,162,108,41.5,58,18153
France,2017-12-31,0,0,0.0,0,0
France,2018-01-07,777,163,557.1799999999998,1705,328934
France,2018-01-14,440,44,490.6199999999999,306,88792
France,2018-01-21,1200,75,249.65999999999988,592,151350
France,2018-01-28,1367,54,167.56999999999994,537,108972
France,2018-02-04,1100,131,256.9899999999999,743,161440
France,2018-02-11,1660,490,801.6700000000004,2183,494410
France,2018-02-18,0,0,0.0,0,0
France,2018-02-25,1599,156,282.67999999999984,700,157404
France,2018-03-04,3436,345,559.4600000000004,1312,316826
France,2018-03-11,561,240,279.01999999999975,551,161440
France,2018-03-18,1515,333,299.78999999999974,961,223998
France,2018-03-25,1005,141,153.98999999999992,448,94846
France,2018-04-01,862,90,72.50000000000001,282,60540
France,2018-04-08,186,136,115.13000000000001,298,68612
France,2018-04-15,648,232,198.92,509,117044
France,2018-04-22,1160,252,200.94999999999993,497,127134
France,2018-04-29,1803,288,190.27000000000004,689,145296
France,2018-05-06,710,1105,599.2699999999999,2278,445978
France,2018-05-13,1146,600,330.94000000000005,1095,242160
France,2018-05-20,248,70,53.85,140,28252
France,2018-05-27,1779,385,273.8799999999999,530,155386
France,2018-06-03,1901,583,360.01999999999975,902,215926
France,2018-06-10,564,456,273.5799999999999,688,153368
France,2018-06-17,1459,678,263.8999999999997,1116,228034
France,2018-06-24,1148,348,168.62999999999997,501,117044
France,2018-07-01,3049,684,366.19999999999976,996,230052
France,2018-07-08,160,427,161.17,599,123098
France,2018-07-15,684,399,210.39999999999998,481,115026
France,2018-07-22,1727,609,263.1799999999999,879,175566
France,2018-07-29,3269,931,4149.11,742,268394
France,2018-08-05,26,144,76.30000000000001,118,36324
France,2018-08-12,624,752,192.40999999999997,1044,189692
France,2018-08-19,0,0,0.0,0,0
France,2018-08-26,2024,752,341.05999999999983,798,189692
France,2018-09-02,4578,1288,2768.879999999998,1219,322880
France,2018-09-09,1310,2142,718.7300000000004,2071,480284
France,2018-09-16,483,387,187.99,360,86774
France,2018-09-23,2122,990,351.8099999999998,1101,221980
France,2018-09-30,3328,1098,203.46999999999994,867,246196
France,2018-10-07,376,840,239.1799999999999,769,169512
France,2018-10-14,3403,3450,1011.3700000000005,2893,696210
France,2018-10-21,3228,1620,464.0499999999997,917,326916
France,2018-10-28,1760,760,160.84000000000006,319,153368
France,2018-11-04,1082,661,203.23999999999995,561,127134
France,2018-11-11,1895,2849,754.4700000000004,1637,522662
France,2018-11-18,4898,3553,1191.4600000000014,2794,651814
France,2018-11-25,6557,3465,721.2500000000008,2123,635670
France,2018-12-02,3517,2777,958.8199999999999,2094,486338
France,2018-12-09,1826,4152,1093.4600000000012,3095,698228
France,2018-12-16,997,972,180.06000000000006,243,163458
France,2018-12-23,1220,852,368.96000000000004,655,143278
France,2018-12-30,0,0,0.0,0,0
France,2019-01-06,495,169,666.8400000000003,1344,341211
France,2019-01-13,2158,234,742.6700000000008,2142,472446
France,2019-01-20,2325,140,465.1599999999996,1275,282660
France,2019-01-27,1624,67,290.5499999999998,466,135273
France,2019-02-03,3304,239,537.2499999999998,1652,355344
France,2019-02-10,323,108,145.43000000000006,519,109026
France,2019-02-17,1841,266,343.02000000000004,1336,268527
France,2019-02-24,1335,140,232.5099999999999,616,141330
France,2019-03-03,3840,342,571.8999999999999,1346,329097
France,2019-03-10,359,126,163.46999999999994,347,84798
France,2019-03-17,1054,246,278.49,705,165558
France,2019-03-24,3559,540,565.1799999999998,1241,363420
France,2019-03-31,4118,462,403.5999999999998,1540,310926
France,2019-04-07,128,216,2580.599999999999,400,109026
France,2019-04-14,794,256,247.59999999999985,508,129216
France,2019-04-21,1146,260,234.34999999999985,405,131235
France,2019-04-28,868,148,102.5,150,74703
France,2019-05-05,1897,578,345.53000000000026,1260,254394
France,2019-05-12,1920,1155,804.8900000000006,1872,466389
France,2019-05-19,3334,1055,895.5800000000004,1748,426009
France,2019-05-26,3116,705,478.1599999999996,1273,284679
France,2019-06-02,670,509,328.19999999999976,876,177672
France,2019-06-09,1027,1134,529.5699999999996,1550,381591
France,2019-06-16,2718,1404,849.1000000000004,1970,472446
France,2019-06-23,1887,594,303.2199999999999,944,199881
France,2019-06-30,1195,270,141.37,438,90855
France,2019-07-07,592,1225,526.0499999999997,1476,353325
France,2019-07-14,1079,833,581.8000000000001,902,240261
France,2019-07-21,1250,511,251.17000000000002,709,147387
France,2019-07-28,1532,420,184.73999999999998,523,121140
France,2019-08-04,398,91,35.96000000000001,129,26247
