country,date,day,month,price,timesviewed,year
Germany,2017-12-03,1419,695,205.67999999999992,472,125054
Germany,2017-12-10,520,1164,572.3500000000001,913,195649
Germany,2017-12-17,2738,2772,664.0300000000002,1968,465927
Germany,2017-12-24,550,360,83.73,283,60510
Germany,2017-12-31,0,0,0.0,0,0
Germany,2018-01-07,59,17,63.839999999999996,74,34306
Germany,2018-01-14,2086,218,693.7000000000005,1791,439924
Germany,2018-01-21,3391,175,466.72,1503,353150
Germany,2018-01-28,5217,205,764.7600000000016,1640,413690
Germany,2018-02-04,1424,186,378.7199999999998,766,232070
Germany,2018-02-11,1513,460,689.6600000000001,1961,464140
Germany,2018-02-18,817,130,194.82999999999984,433,131170
Germany,2018-02-25,1659,146,281.2799999999999,513,147314
Germany,2018-03-04,1841,566,634.9400000000007,1686,411672
Germany,2018-03-11,368,186,369.72999999999996,451,125116
Germany,2018-03-18,2125,459,479.88999999999976,1440,308754
Germany,2018-03-25,4260,585,708.2000000000007,1523,393510
Germany,2018-04-01,3733,387,393.37999999999994,1054,260322
Germany,2018-04-08,1276,840,486.5000000000001,1890,423780
Germany,2018-04-15,1320,492,687.7710000000005,1050,248214
Germany,2018-04-22,4161,896,703.8,1974,452032
Germany,2018-04-29,2914,476,474.1799999999996,1074,240142
Germany,2018-05-06,196,390,281.24999999999994,687,157404
Germany,2018-05-13,672,360,251.16000000000003,556,145296
Germany,2018-05-20,2707,795,630.1000000000005,1196,320862
Germany,2018-05-27,1528,320,205.20999999999995,557,129152
Germany,2018-06-03,786,420,225.0699999999998,702,149332
Germany,2018-06-10,845,960,834.1400000000006,1311,322880
Germany,2018-06-17,1999,948,400.6899999999998,1584,318844
Germany,2018-06-24,1932,552,161.19,926,185656
Germany,2018-07-01,11549,2484,1417.9900000000025,3389,835452
Germany,2018-07-08,800,1435,2828.340000000003,1606,413690
Germany,2018-07-15,1724,938,313.4099999999998,1475,270412
Germany,2018-07-22,2880,1099,500.2299999999995,1313,316826
Germany,2018-07-29,2388,700,389.90999999999985,704,201800
Germany,2018-08-05,1267,909,364.4299999999998,1081,238124
Germany,2018-08-12,267,264,136.86000000000004,162,66594
Germany,2018-08-19,2377,1216,476.83,1374,306736
Germany,2018-08-26,2300,848,373.7399999999998,869,213908
Germany,2018-09-02,2755,995,347.88999999999976,1040,244178
Germany,2018-09-09,814,1260,435.09999999999997,1245,282520
Germany,2018-09-16,2468,1890,724.0300000000002,1968,423780
Germany,2018-09-23,1275,657,215.14999999999995,637,147314
Germany,2018-09-30,6600,2268,847.0300000000009,2154,508536
Germany,2018-10-07,804,2950,935.2400000000017,2418,595310
Germany,2018-10-14,1250,1280,456.18999999999977,1133,258304
Germany,2018-10-21,3682,2140,738.0700000000004,1970,431852
Germany,2018-10-28,5509,2190,714.8200000000007,2010,441942
Germany,2018-11-04,3776,3310,1094.5200000000016,2624,627598
Germany,2018-11-11,1347,2068,727.5500000000005,1588,379384
Germany,2018-11-18,2410,1815,674.65,1346,332970
Germany,2018-11-25,5177,2530,856.9000000000005,1963,464140
Germany,2018-12-02,6996,5419,1602.3499999999974,4075,950478
Germany,2018-12-09,1122,2496,910.1300000000005,1665,419744
Germany,2018-12-16,2139,1824,656.3600000000002,1351,306736
Germany,2018-12-23,1999,1248,355.89999999999986,821,209872
Germany,2018-12-30,0,0,0.0,0,0
Germany,2019-01-06,949,246,709.0800000000004,2003,496674
Germany,2019-01-13,756,82,372.52999999999986,603,165558
Germany,2019-01-20,1370,95,326.0999999999999,664,191805
Germany,2019-01-27,6303,282,821.5,2524,569358
Germany,2019-02-03,5375,194,842.8500000000009,1320,383610
Germany,2019-02-10,831,246,483.6699999999997,881,248337
Germany,2019-02-17,750,124,219.58999999999997,508,125178
Germany,2019-02-24,1944,192,361.8099999999998,894,193824
Germany,2019-03-03,1148,84,134.99000000000004,395,84798
Germany,2019-03-10,934,477,598.3699999999999,1231,321021
Germany,2019-03-17,2450,504,667.0100000000007,1450,339192
Germany,2019-03-24,3202,468,505.58999999999975,1284,314964
Germany,2019-03-31,2317,267,320.21999999999986,778,179691
Germany,2019-04-07,496,524,349.57999999999987,1233,264489
Germany,2019-04-14,1524,600,603.65,1265,302850
Germany,2019-04-21,1978,480,941.4700000000012,966,242280
Germany,2019-04-28,2147,336,228.83999999999992,764,169596
Germany,2019-05-05,177,297,191.9899999999999,542,121140
Germany,2019-05-12,2170,1295,1276.4600000000012,2595,522921
Germany,2019-05-19,4039,1195,772.49,2048,482541
Germany,2019-05-26,4329,955,724.6200000000005,1458,385629
Germany,2019-06-02,6938,1487,767.6000000000003,1663,577434
Germany,2019-06-09,367,420,305.74999999999994,502,141330
Germany,2019-06-16,1299,756,416.99999999999966,1136,254394
Germany,2019-06-23,2460,828,416.70999999999975,1258,278622
Germany,2019-06-30,1954,432,211.67,666,145368
Germany,2019-07-07,612,1295,1274.660000000001,1657,373515
Germany,2019-07-14,1390,896,440.02999999999986,1253,258432
Germany,2019-07-21,6352,2548,1122.1400000000015,3035,734916
Germany,2019-07-28,2294,700,375.60999999999984,804,201900
Germany,2019-08-04,4420,1043,408.11999999999983,1279,300831
