country,date,day,month,price,timesviewed,year
Greece,2017-12-10,164,492,104.04000000000002,397,82697
Greece,2017-12-17,0,0,0.0,0,0
Greece,2017-12-24,0,0,0.0,0,0
Greece,2017-12-31,0,0,0.0,0,0
Greece,2018-01-07,0,0,0.0,0,0
Greece,2018-01-14,462,42,99.27000000000001,376,84756
Greece,2018-01-21,792,44,202.83999999999995,515,88792
Greece,2018-01-28,330,15,84.28000000000002,156,30270
Greece,2018-02-04,0,0,0.0,0,0
Greece,2018-02-11,0,0,0.0,0,0
Greece,2018-02-18,0,0,0.0,0,0
Greece,2018-02-25,0,0,0.0,0,0
Greece,2018-03-04,46,69,110.49000000000002,129,46414
Greece,2018-03-11,0,0,0.0,0,0
Greece,2018-03-18,0,0,0.0,0,0
Greece,2018-03-25,19,3,2.95,1,2018
Greece,2018-04-01,0,0,0.0,0,0
Greece,2018-04-08,0,0,0.0,0,0
Greece,2018-04-15,0,0,0.0,0,0
Greece,2018-04-22,0,0,0.0,0,0
Greece,2018-04-29,400,64,95.39,94,32288
Greece,2018-05-06,0,0,0.0,0,0
Greece,2018-05-13,207,115,61.05000000000001,146,46414
Greece,2018-05-20,540,150,144.89000000000001,351,60540
Greece,2018-05-27,0,0,0.0,0,0
Greece,2018-06-03,0,0,0.0,0,0
Greece,2018-06-10,0,0,0.0,0,0
Greece,2018-06-17,0,0,0.0,0,0
Greece,2018-06-24,0,0,0.0,0,0
Greece,2018-07-01,243,54,40.05,60,18162
Greece,2018-07-08,0,0,0.0,0,0
Greece,2018-07-15,0,0,0.0,0,0
Greece,2018-07-22,0,0,0.0,0,0
Greece,2018-07-29,0,0,0.0,0,0
Greece,2018-08-05,0,0,0.0,0,0
Greece,2018-08-12,0,0,0.0,0,0
Greece,2018-08-19,0,0,0.0,0,0
Greece,2018-08-26,660,264,72.73,312,66594
Greece,2018-09-02,0,0,0.0,0,0
Greece,2018-09-09,0,0,0.0,0,0
Greece,2018-09-16,0,0,0.0,0,0
Greece,2018-09-23,152,72,46.04,80,16144
Greece,2018-09-30,0,0,0.0,0,0
Greece,2018-10-07,760,1900,651.8300000000006,1387,383420
Greece,2018-10-14,0,0,0.0,0,0
Greece,2018-10-21,72,40,17.0,8,8072
Greece,2018-10-28,0,0,0.0,0,0
Greece,2018-11-04,0,0,0.0,0,0
Greece,2018-11-11,0,0,0.0,0,0
Greece,2018-11-18,0,0,0.0,0,0
Greece,2018-11-25,760,418,154.59,303,76684
Greece,2018-12-02,0,0,0.0,0,0
Greece,2018-12-09,0,0,0.0,0,0
Greece,2018-12-16,0,0,0.0,0,0
Greece,2018-12-23,0,0,0.0,0,0
Greece,2018-12-30,0,0,0.0,0,0
Greece,2019-01-06,0,0,0.0,0,0
Greece,2019-01-13,0,0,0.0,0,0
Greece,2019-01-20,0,0,0.0,0,0
Greece,2019-01-27,672,32,207.38999999999993,260,64608
Greece,2019-02-03,0,0,0.0,0,0
Greece,2019-02-10,0,0,0.0,0,0
Greece,2019-02-17,0,0,0.0,0,0
Greece,2019-02-24,0,0,0.0,0,0
Greece,2019-03-03,22,66,35.69,215,44418
Greece,2019-03-10,0,0,0.0,0,0
Greece,2019-03-17,0,0,0.0,0,0
Greece,2019-03-24,0,0,0.0,0,0
Greece,2019-03-31,0,0,0.0,0,0
Greece,2019-04-07,155,124,161.81999999999996,262,62589
Greece,2019-04-14,0,0,0.0,0,0
Greece,2019-04-21,0,0,0.0,0,0
Greece,2019-04-28,0,0,0.0,0,0
Greece,2019-05-05,0,0,0.0,0,0
Greece,2019-05-12,0,0,0.0,0,0
Greece,2019-05-19,0,0,0.0,0,0
Greece,2019-05-26,0,0,0.0,0,0
Greece,2019-06-02,0,0,0.0,0,0
Greece,2019-06-09,0,0,0.0,0,0
Greece,2019-06-16,0,0,0.0,0,0
Greece,2019-06-23,0,0,0.0,0,0
Greece,2019-06-30,0,0,0.0,0,0
Greece,2019-07-07,0,0,0.0,0,0
Greece,2019-07-14,200,175,145.02999999999997,233,50475
