country,date,day,month,price,timesviewed,year
Italy,2017-12-03,5,60,24.15,10,10085
Italy,2017-12-10,0,0,0.0,0,0
Italy,2017-12-17,247,228,76.45,122,38323
Italy,2017-12-24,0,0,0.0,0,0
Italy,2017-12-31,0,0,0.0,0,0
Italy,2018-01-07,0,0,0.0,0,0
Italy,2018-01-14,0,0,0.0,0,0
Italy,2018-01-21,0,0,0.0,0,0
Italy,2018-01-28,23,1,39.67,1,2018
Italy,2018-02-04,0,0,0.0,0,0
Italy,2018-02-11,0,0,0.0,0,0
Italy,2018-02-18,0,0,0.0,0,0
Italy,2018-02-25,0,0,0.0,0,0
Italy,2018-03-04,336,24,48.43,99,24216
Italy,2018-03-11,165,99,59.300000000000004,351,66594
Italy,2018-03-18,0,0,0.0,0,0
Italy,2018-03-25,0,0,0.0,0,0
Italy,2018-04-01,0,0,0.0,0,0
Italy,2018-04-08,0,0,0.0,0,0
Italy,2018-04-15,15,4,660.86,4,2018
Italy,2018-04-22,0,0,0.0,0,0
Italy,2018-04-29,1646,256,233.33,509,129152
Italy,2018-05-06,47,235,170.52999999999997,362,94846
Italy,2018-05-13,784,560,414.3199999999999,325,226016
Italy,2018-05-20,47,15,430.95,3,6054
Italy,2018-05-27,23,5,12.75,2,2018
Italy,2018-06-03,1,6,12.75,1,2018
Italy,2018-06-10,0,0,0.0,0,0
Italy,2018-06-17,165,90,64.1,133,30270
Italy,2018-06-24,0,0,0.0,0,0
Italy,2018-07-01,0,0,0.0,0,0
Italy,2018-07-08,0,0,0.0,0,0
Italy,2018-07-15,0,0,0.0,0,0
Italy,2018-07-22,0,0,0.0,0,0
Italy,2018-07-29,0,0,0.0,0,0
Italy,2018-08-05,0,0,0.0,0,0
Italy,2018-08-12,0,0,0.0,0,0
Italy,2018-08-19,0,0,0.0,0,0
Italy,2018-08-26,0,0,0.0,0,0
Italy,2018-09-02,0,0,0.0,0,0
Italy,2018-09-09,45,81,14.36,134,18162
Italy,2018-09-16,0,0,0.0,0,0
Italy,2018-09-23,741,351,98.33999999999997,416,78702
Italy,2018-09-30,28,9,413.4,0,2018
Italy,2018-10-07,12,30,7.05,7,6054
Italy,2018-10-14,0,0,0.0,0,0
Italy,2018-10-21,1618,930,378.39999999999986,705,187674
Italy,2018-10-28,3607,1480,868.8900000000003,1119,298664
Italy,2018-11-04,618,200,68.28,164,40360
Italy,2018-11-11,87,99,68.7,48,18162
Italy,2018-11-18,322,220,78.84000000000002,193,40360
Italy,2018-11-25,391,187,40.500000000000014,125,34306
Italy,2018-12-02,2331,891,405.71999999999974,497,163458
Italy,2018-12-09,6,24,17.0,4,4036
Italy,2018-12-16,0,0,0.0,0,0
Italy,2018-12-23,288,192,108.5,101,32288
Italy,2018-12-30,0,0,0.0,0,0
Italy,2019-01-06,2,1,2.55,2,2019
Italy,2019-01-13,700,70,200.59999999999997,642,141330
Italy,2019-01-20,216,12,52.70000000000001,130,24228
Italy,2019-01-27,718,31,108.85000000000002,221,62589
Italy,2019-02-03,0,0,0.0,0,0
Italy,2019-02-10,8,2,4.5,1,2019
Italy,2019-02-17,195,26,53.5,111,26247
Italy,2019-02-24,0,0,0.0,0,0
Italy,2019-03-03,18,54,141.19,84,36342
Italy,2019-03-10,0,0,0.0,0,0
Italy,2019-03-17,725,156,173.08999999999997,433,104988
Italy,2019-03-24,0,0,0.0,0,0
Italy,2019-03-31,375,45,88.35000000000002,150,30285
Italy,2019-04-07,56,56,29.09,149,28266
Italy,2019-04-14,0,0,0.0,0,0
Italy,2019-04-21,128,32,14.530000000000001,111,16152
Italy,2019-04-28,0,0,0.0,0,0
Italy,2019-05-05,0,0,0.0,0,0
Italy,2019-05-12,0,0,0.0,0,0
Italy,2019-05-19,0,0,0.0,0,0
Italy,2019-05-26,0,0,0.0,0,0
Italy,2019-06-02,644,115,60.24999999999999,205,46437
Italy,2019-06-09,42,60,79.77000000000001,55,20190
Italy,2019-06-16,0,0,0.0,0,0
Italy,2019-06-23,0,0,0.0,0,0
Italy,2019-06-30,78,18,36.85,5,6057
Italy,2019-07-07,0,0,0.0,0,0
Italy,2019-07-14,0,0,0.0,0,0
Italy,2019-07-21,0,0,0.0,0,0
Italy,2019-07-28,138,42,48.8,22,12114
