country,date,day,month,price,timesviewed,year
Japan,2017-12-03,87,33,6.140000000000001,3,6051
Japan,2017-12-10,0,0,0.0,0,0
Japan,2017-12-17,0,0,0.0,0,0
Japan,2017-12-24,0,0,0.0,0,0
Japan,2017-12-31,0,0,0.0,0,0
Japan,2018-01-07,0,0,0.0,0,0
Japan,2018-01-14,12,1,2.95,1,2018
Japan,2018-01-21,0,0,0.0,0,0
Japan,2018-01-28,0,0,0.0,0,0
Japan,2018-02-04,290,10,25.61,56,20180
Japan,2018-02-11,0,0,0.0,0,0
Japan,2018-02-18,0,0,0.0,0,0
Japan,2018-02-25,780,78,71.07,61,78702
Japan,2018-03-04,0,0,0.0,0,0
Japan,2018-03-11,0,0,0.0,0,0
Japan,2018-03-18,96,24,18.400000000000002,55,16144
Japan,2018-03-25,0,0,0.0,0,0
Japan,2018-04-01,0,0,0.0,0,0
Japan,2018-04-08,4,4,2.75,2,2018
Japan,2018-04-15,0,0,0.0,0,0
Japan,2018-04-22,0,0,0.0,0,0
Japan,2018-04-29,0,0,0.0,0,0
Japan,2018-05-06,0,0,0.0,0,0
Japan,2018-05-13,0,0,0.0,0,0
Japan,2018-05-20,0,0,0.0,0,0
Japan,2018-05-27,0,0,0.0,0,0
Japan,2018-06-03,0,0,0.0,0,0
Japan,2018-06-10,0,0,0.0,0,0
Japan,2018-06-17,0,0,0.0,0,0
Japan,2018-06-24,440,132,36.52000000000001,193,44396
Japan,2018-07-01,510,120,56.300000000000004,140,40360
Japan,2018-07-08,40,140,36.599999999999994,36,40360
Japan,2018-07-15,0,0,0.0,0,0
Japan,2018-07-22,627,231,61.350000000000016,319,66594
Japan,2018-07-29,0,0,0.0,0,0
Japan,2018-08-05,31,7,3.25,4,2018
Japan,2018-08-12,0,0,0.0,0,0
Japan,2018-08-19,0,0,0.0,0,0
Japan,2018-08-26,0,0,0.0,0,0
Japan,2018-09-02,0,0,0.0,0,0
Japan,2018-09-09,96,144,43.73,189,32288
Japan,2018-09-16,0,0,0.0,0,0
Japan,2018-09-23,0,0,0.0,0,0
Japan,2018-09-30,0,0,0.0,0,0
Japan,2018-10-07,0,0,0.0,0,0
Japan,2018-10-14,275,250,21.340000000000007,207,50450
Japan,2018-10-21,0,0,0.0,0,0
Japan,2018-10-28,0,0,0.0,0,0
Japan,2018-11-04,3,22,8.5,4,4036
Japan,2018-11-11,0,0,0.0,0,0
Japan,2018-11-18,88,66,17.7,15,12108
Japan,2018-11-25,0,0,0.0,0,0
Japan,2018-12-02,64,384,57.980000000000025,300,64576
Japan,2018-12-09,444,600,97.06000000000003,574,100900
Japan,2018-12-16,0,0,0.0,0,0
Japan,2018-12-23,0,0,0.0,0,0
Japan,2018-12-30,0,0,0.0,0,0
Japan,2019-01-06,12,4,7.85,8,8076
Japan,2019-01-13,0,0,0.0,0,0
Japan,2019-01-20,0,0,0.0,0,0
Japan,2019-01-27,0,0,0.0,0,0
Japan,2019-02-03,37,74,45.57000000000002,37,74703
Japan,2019-02-10,288,96,115.62,629,96912
Japan,2019-02-17,0,0,0.0,0,0
Japan,2019-02-24,0,0,0.0,0,0
Japan,2019-03-03,165,21,30.49,17,18171
Japan,2019-03-10,60,45,95.22000000000001,19,30285
Japan,2019-03-17,0,0,0.0,0,0
Japan,2019-03-24,0,0,0.0,0,0
Japan,2019-03-31,0,0,0.0,0,0
Japan,2019-04-07,65,132,84.7,364,66627
Japan,2019-04-14,0,0,0.0,0,0
Japan,2019-04-21,210,56,9.26,156,28266
Japan,2019-04-28,184,32,17.22,16,16152
Japan,2019-05-05,0,0,0.0,0,0
Japan,2019-05-12,120,60,31.49999999999999,129,24228
Japan,2019-05-19,0,0,0.0,0,0
Japan,2019-05-26,0,0,0.0,0,0
Japan,2019-06-02,0,0,0.0,0,0
Japan,2019-06-09,0,0,0.0,0,0
Japan,2019-06-16,0,0,0.0,0,0
Japan,2019-06-23,114,36,4.799999999999999,108,12114
Japan,2019-06-30,0,0,0.0,0,0
Japan,2019-07-07,0,0,0.0,0,0
Japan,2019-07-14,0,0,0.0,0,0
Japan,2019-07-21,42,14,2.9,31,4038
Japan,2019-07-28,888,259,70.74000000000001,409,74703
