country,date,day,month,price,timesviewed,year
Netherlands,2017-12-03,689,517,126.85000000000005,435,90765
Netherlands,2017-12-10,255,612,104.15,51,102867
Netherlands,2017-12-17,871,708,153.26000000000002,710,119003
Netherlands,2017-12-24,0,0,0.0,0,0
Netherlands,2017-12-31,0,0,0.0,0,0
Netherlands,2018-01-07,0,0,0.0,0,0
Netherlands,2018-01-14,124,11,62.790000000000006,92,22198
Netherlands,2018-01-21,931,49,90.42000000000002,484,98882
Netherlands,2018-01-28,2093,91,184.23999999999995,966,183638
Netherlands,2018-02-04,279,9,41.5,66,18162
Netherlands,2018-02-11,0,0,0.0,0,0
Netherlands,2018-02-18,885,118,1091.53,681,119062
Netherlands,2018-02-25,751,66,82.01,111,66594
Netherlands,2018-03-04,539,40,25.769999999999996,239,40360
Netherlands,2018-03-11,849,285,240.0399999999999,1099,191710
Netherlands,2018-03-18,138,24,28.349999999999994,80,16144
Netherlands,2018-03-25,1488,195,564.0600000000003,767,131170
Netherlands,2018-04-01,899,93,44.95999999999999,323,62558
Netherlands,2018-04-08,173,124,90.20000000000002,281,62558
Netherlands,2018-04-15,606,192,145.93999999999997,428,96864
Netherlands,2018-04-22,644,144,106.49000000000005,218,72648
Netherlands,2018-04-29,1115,164,391.86000000000007,317,82738
Netherlands,2018-05-06,339,565,243.51999999999995,1521,228034
Netherlands,2018-05-13,462,210,76.93999999999998,499,84756
Netherlands,2018-05-20,0,0,0.0,0,0
Netherlands,2018-05-27,2633,615,313.8399999999999,1131,248214
Netherlands,2018-06-03,2263,365,216.4299999999998,540,147314
Netherlands,2018-06-10,0,0,0.0,0,0
Netherlands,2018-06-17,750,300,125.47,489,100900
Netherlands,2018-06-24,152,48,40.8,54,16144
Netherlands,2018-07-01,2384,564,236.40999999999997,982,189692
Netherlands,2018-07-08,124,217,88.96000000000002,285,62558
Netherlands,2018-07-15,96,56,47.699999999999996,65,16144
Netherlands,2018-07-22,1043,434,198.69999999999996,583,125116
Netherlands,2018-07-29,1657,490,163.82000000000005,398,141260
Netherlands,2018-08-05,20,160,41.19000000000002,257,40360
Netherlands,2018-08-12,817,848,518.4600000000002,1261,213908
Netherlands,2018-08-19,986,560,201.3999999999999,709,141260
Netherlands,2018-08-26,917,328,88.80000000000003,522,82738
Netherlands,2018-09-02,3420,944,284.66,992,238124
Netherlands,2018-09-09,163,216,101.31000000000002,203,48432
Netherlands,2018-09-16,987,684,177.54000000000002,763,153368
Netherlands,2018-09-23,2759,1206,324.5599999999999,1542,270412
Netherlands,2018-09-30,2524,900,211.46000000000006,613,201800
Netherlands,2018-10-07,70,140,69.22,106,28252
Netherlands,2018-10-14,846,840,136.84000000000006,1051,169512
Netherlands,2018-10-21,490,260,173.97,248,52468
Netherlands,2018-10-28,634,280,130.71999999999997,193,56504
Netherlands,2018-11-04,2480,800,243.81999999999988,875,161440
Netherlands,2018-11-11,578,891,170.00999999999993,795,163458
Netherlands,2018-11-18,1240,946,223.82999999999984,925,173548
Netherlands,2018-11-25,2751,1551,569.9199999999998,564,284538
Netherlands,2018-12-02,2296,946,192.81,868,173548
Netherlands,2018-12-09,0,0,0.0,0,0
Netherlands,2018-12-16,0,0,0.0,0,0
Netherlands,2018-12-23,1244,840,144.83999999999997,571,141260
Netherlands,2018-12-30,0,0,0.0,0,0
Netherlands,2019-01-06,0,0,0.0,0,0
Netherlands,2019-01-13,869,79,125.58000000000001,876,159501
Netherlands,2019-01-20,2470,141,294.90000000000003,1615,284679
Netherlands,2019-01-27,0,0,0.0,0,0
Netherlands,2019-02-03,631,22,78.14000000000001,181,44418
Netherlands,2019-02-10,75,30,46.269999999999996,128,30285
Netherlands,2019-02-17,0,0,0.0,0,0
Netherlands,2019-02-24,2978,326,336.26000000000005,1954,329097
Netherlands,2019-03-03,0,0,0.0,0,0
Netherlands,2019-03-10,162,81,76.57000000000001,198,54513
Netherlands,2019-03-17,88,24,41.51000000000001,57,16152
Netherlands,2019-03-24,712,102,130.36,349,68646
Netherlands,2019-03-31,3136,360,301.0300000000001,1639,242280
Netherlands,2019-04-07,30,60,28.019999999999992,208,30285
Netherlands,2019-04-14,0,0,0.0,0,0
Netherlands,2019-04-21,0,0,0.0,0,0
Netherlands,2019-04-28,225,36,26.91,132,18171
Netherlands,2019-05-05,0,0,0.0,0,0
Netherlands,2019-05-12,1044,585,328.00000000000017,1388,236223
Netherlands,2019-05-19,296,90,89.87,167,36342
Netherlands,2019-05-26,1172,255,142.83,542,102969
Netherlands,2019-06-02,2031,350,226.92999999999998,636,141330
Netherlands,2019-06-09,111,186,82.74999999999999,280,62589
Netherlands,2019-06-16,832,312,89.84000000000006,665,104988
Netherlands,2019-06-23,1705,588,269.97999999999985,397,197862
Netherlands,2019-06-30,2575,618,248.65999999999988,1244,207957
Netherlands,2019-07-07,0,0,0.0,0,0
Netherlands,2019-07-14,0,0,0.0,0,0
Netherlands,2019-07-21,170,70,26.02,10,20190
