country,date,day,month,price,timesviewed,year
Spain,2017-12-03,78,238,95.38,151,40340
Spain,2017-12-10,28,84,58.699999999999996,71,14119
Spain,2017-12-17,42,36,10.17,41,6051
Spain,2017-12-24,4140,2484,680.9700000000007,1929,417519
Spain,2017-12-31,0,0,0.0,0,0
Spain,2018-01-07,196,28,110.54000000000003,238,56504
Spain,2018-01-14,56,6,2821.98,9,12108
Spain,2018-01-21,570,30,124.46000000000001,226,60540
Spain,2018-01-28,1632,68,391.0900000000001,375,137224
Spain,2018-02-04,671,23,119.58000000000001,230,46414
Spain,2018-02-11,0,0,0.0,0,0
Spain,2018-02-18,0,0,0.0,0,0
Spain,2018-02-25,150,12,33.400000000000006,8,12108
Spain,2018-03-04,390,30,57.09000000000001,168,30270
Spain,2018-03-11,150,75,79.75999999999999,243,50450
Spain,2018-03-18,0,0,0.0,0,0
Spain,2018-03-25,858,117,139.23000000000002,332,78702
Spain,2018-04-01,422,48,35.870000000000005,43,32288
Spain,2018-04-08,0,0,0.0,0,0
Spain,2018-04-15,387,148,178.88,279,74666
Spain,2018-04-22,0,0,0.0,0,0
Spain,2018-04-29,0,0,0.0,0,0
Spain,2018-05-06,41,205,397.69999999999993,359,82738
Spain,2018-05-13,320,160,107.19,276,64576
Spain,2018-05-20,0,0,0.0,0,0
Spain,2018-05-27,0,0,0.0,0,0
Spain,2018-06-03,0,0,0.0,0,0
Spain,2018-06-10,24,18,10.17,49,6054
Spain,2018-06-17,286,132,69.44000000000001,233,44396
Spain,2018-06-24,0,0,0.0,0,0
Spain,2018-07-01,0,0,0.0,0,0
Spain,2018-07-08,0,0,0.0,0,0
Spain,2018-07-15,0,0,0.0,0,0
Spain,2018-07-22,76,28,34.65,29,8072
Spain,2018-07-29,1661,469,192.79000000000002,471,135206
Spain,2018-08-05,31,7,25.0,5,2018
Spain,2018-08-12,176,152,45.330000000000005,129,38342
Spain,2018-08-19,257,112,36.59,93,28252
Spain,2018-08-26,0,0,0.0,0,0
Spain,2018-09-02,787,224,110.11000000000001,283,56504
Spain,2018-09-09,123,369,112.04999999999998,376,82738
Spain,2018-09-16,1309,882,302.0099999999999,881,197764
Spain,2018-09-23,38,18,3.0999999999999996,6,4036
Spain,2018-09-30,1378,450,175.21999999999997,530,100900
Spain,2018-10-07,118,590,106.52000000000007,134,119062
Spain,2018-10-14,838,790,215.85999999999987,773,159422
Spain,2018-10-21,923,530,397.9999999999999,413,106954
Spain,2018-10-28,0,0,0.0,0,0
Spain,2018-11-04,428,405,259.6499999999999,243,76684
Spain,2018-11-11,96,176,44.21999999999999,86,32288
Spain,2018-11-18,80,55,67.6,23,10090
Spain,2018-11-25,713,341,118.9,287,62558
Spain,2018-12-02,300,110,15.7,93,20180
Spain,2018-12-09,480,960,257.9399999999999,134,161440
Spain,2018-12-16,340,360,113.94000000000005,275,60540
Spain,2018-12-23,0,0,0.0,0,0
Spain,2018-12-30,0,0,0.0,0,0
Spain,2019-01-06,395,99,1412.6400000000015,539,199881
Spain,2019-01-13,931,128,532.9399999999998,960,258432
Spain,2019-01-20,820,53,171.34,321,107007
Spain,2019-01-27,2487,105,2163.1799999999994,683,211995
Spain,2019-02-03,1309,43,214.51999999999995,273,86817
Spain,2019-02-10,240,80,183.92999999999992,277,80760
Spain,2019-02-17,203,34,73.27000000000001,159,34323
Spain,2019-02-24,0,0,0.0,0,0
Spain,2019-03-03,23,69,89.39000000000001,212,46437
Spain,2019-03-10,12,9,22.5,6,6057
Spain,2019-03-17,793,183,331.4499999999999,366,123159
Spain,2019-03-24,2298,336,419.36999999999966,1065,226128
Spain,2019-03-31,125,15,7.65,48,10095
Spain,2019-04-07,0,0,0.0,0,0
Spain,2019-04-14,120,60,63.38000000000002,116,30285
Spain,2019-04-21,1044,232,261.21999999999986,389,117102
Spain,2019-04-28,575,92,72.05,218,46437
Spain,2019-05-05,86,280,221.77999999999997,543,113064
Spain,2019-05-12,0,0,0.0,0,0
Spain,2019-05-19,0,0,0.0,0,0
Spain,2019-05-26,46,10,28.85,11,4038
Spain,2019-06-02,1719,300,228.5500000000001,515,121140
Spain,2019-06-09,357,426,362.8699999999998,422,143349
Spain,2019-06-16,1305,558,342.0999999999996,699,187767
Spain,2019-06-23,115,30,33.6,49,10095
Spain,2019-06-30,0,0,0.0,0,0
Spain,2019-07-07,162,385,211.56999999999982,457,111045
Spain,2019-07-14,536,469,180.73999999999995,166,135273
Spain,2019-07-21,68,28,45.09,19,8076
Spain,2019-07-28,1234,385,210.23,536,111045
