country,date,day,month,price,timesviewed,year
Sweden,2017-12-10,18,36,4.85,17,6051
Sweden,2017-12-17,0,0,0.0,0,0
Sweden,2017-12-24,0,0,0.0,0,0
Sweden,2017-12-31,0,0,0.0,0,0
Sweden,2018-01-07,16,4,26.05,4,8072
Sweden,2018-01-14,0,0,0.0,0,0
Sweden,2018-01-21,153,9,15.350000000000003,126,18162
Sweden,2018-01-28,224,8,95.45,69,16144
Sweden,2018-02-04,0,0,0.0,0,0
Sweden,2018-02-11,28,8,45.15,41,8072
Sweden,2018-02-18,195,30,42.1,157,30270
Sweden,2018-02-25,1365,130,79.86000000000003,687,131170
Sweden,2018-03-04,0,0,0.0,0,0
Sweden,2018-03-11,235,108,200.89999999999995,322,72648
Sweden,2018-03-18,367,72,136.29999999999998,162,48432
Sweden,2018-03-25,285,45,72.02,132,30270
Sweden,2018-04-01,0,0,0.0,0,0
Sweden,2018-04-08,220,220,55.65,660,110990
Sweden,2018-04-15,1023,284,133.87000000000003,895,143278
Sweden,2018-04-22,300,64,3526.9999999999995,143,32288
Sweden,2018-04-29,0,0,0.0,0,0
Sweden,2018-05-06,0,0,0.0,0,0
Sweden,2018-05-13,261,145,29.97,326,58522
Sweden,2018-05-20,0,0,0.0,0,0
Sweden,2018-05-27,0,0,0.0,0,0
Sweden,2018-06-03,0,0,0.0,0,0
Sweden,2018-06-10,30,30,53.400000000000006,45,10090
Sweden,2018-06-17,0,0,0.0,0,0
Sweden,2018-06-24,0,0,0.0,0,0
Sweden,2018-07-01,850,204,81.95999999999998,358,68612
Sweden,2018-07-08,0,0,0.0,0,0
Sweden,2018-07-15,0,0,0.0,0,0
Sweden,2018-07-22,176,77,18.41,128,22198
Sweden,2018-07-29,1227,357,230.2899999999999,360,102918
Sweden,2018-08-05,0,0,0.0,0,0
Sweden,2018-08-12,260,208,146.71000000000006,284,52468
Sweden,2018-08-19,1654,1016,604.8800000000003,1159,256286
Sweden,2018-08-26,0,0,0.0,0,0
Sweden,2018-09-02,0,0,0.0,0,0
Sweden,2018-09-09,30,90,16.259999999999998,148,20180
Sweden,2018-09-16,123,99,129.49,107,22198
Sweden,2018-09-23,0,0,0.0,0,0
Sweden,2018-09-30,1094,360,157.72,357,80720
Sweden,2018-10-07,331,950,302.65999999999985,871,191710
Sweden,2018-10-14,180,200,88.83999999999997,211,40360
Sweden,2018-10-21,17,10,52.46,3,2018
Sweden,2018-10-28,1388,580,191.32999999999993,568,117044
Sweden,2018-11-04,212,81,67.05,78,16144
Sweden,2018-11-11,0,0,0.0,0,0
Sweden,2018-11-18,703,462,195.70999999999998,399,84756
Sweden,2018-11-25,203,99,101.4,78,18162
Sweden,2018-12-02,0,0,0.0,0,0
Sweden,2018-12-09,0,0,0.0,0,0
Sweden,2018-12-16,372,324,47.27000000000002,281,54486
Sweden,2018-12-23,0,0,0.0,0,0
Sweden,2018-12-30,0,0,0.0,0,0
Sweden,2019-01-06,14,14,97.5,142,28266
Sweden,2019-01-13,0,0,0.0,0,0
Sweden,2019-01-20,0,0,0.0,0,0
Sweden,2019-01-27,525,21,51.870000000000005,195,42399
Sweden,2019-02-03,348,12,62.91000000000002,114,24228
Sweden,2019-02-10,0,0,0.0,0,0
Sweden,2019-02-17,0,0,0.0,0,0
Sweden,2019-02-24,0,0,0.0,0,0
Sweden,2019-03-03,0,0,0.0,0,0
Sweden,2019-03-10,14,6,2.1,24,4038
Sweden,2019-03-17,297,81,39.56000000000001,253,54513
Sweden,2019-03-24,147,21,50.400000000000006,81,14133
Sweden,2019-03-31,0,0,0.0,0,0
Sweden,2019-04-07,0,0,0.0,0,0
Sweden,2019-04-14,264,88,108.20000000000002,181,44418
Sweden,2019-04-21,0,0,0.0,0,0
Sweden,2019-04-28,288,48,71.35000000000001,94,24228
Sweden,2019-05-05,31,9,8.5,1,4038
Sweden,2019-05-12,152,85,48.17,174,34323
Sweden,2019-05-19,30,10,42.1,20,4038
Sweden,2019-05-26,0,0,0.0,0,0
Sweden,2019-06-02,150,25,50.0,15,10095
Sweden,2019-06-09,66,66,38.63,105,22209
Sweden,2019-06-16,0,0,0.0,0,0
Sweden,2019-06-23,380,114,86.25,153,38361
Sweden,2019-06-30,0,0,0.0,0,0
Sweden,2019-07-07,60,140,38.09,220,40380
Sweden,2019-07-14,0,0,0.0,0,0
Sweden,2019-07-21,0,0,0.0,0,0
Sweden,2019-07-28,952,238,130.76999999999995,363,68646
