country,date,day,month,price,timesviewed,year
USA,2017-12-03,28,11,141.0,1,2017
USA,2017-12-10,0,0,0.0,0,0
USA,2017-12-17,0,0,0.0,0,0
USA,2017-12-24,0,0,0.0,0,0
USA,2017-12-31,0,0,0.0,0,0
USA,2018-01-07,0,0,0.0,0,0
USA,2018-01-14,161,20,41.07,204,40360
USA,2018-01-21,1136,71,257.53999999999974,375,143278
USA,2018-01-28,336,14,18.999999999999996,143,28252
USA,2018-02-04,0,0,0.0,0,0
USA,2018-02-11,0,0,0.0,0,0
USA,2018-02-18,0,0,0.0,0,0
USA,2018-02-25,0,0,0.0,0,0
USA,2018-03-04,0,0,0.0,0,0
USA,2018-03-11,0,0,0.0,0,0
USA,2018-03-18,0,0,0.0,0,0
USA,2018-03-25,0,0,0.0,0,0
USA,2018-04-01,0,0,0.0,0,0
USA,2018-04-08,0,0,0.0,0,0
USA,2018-04-15,0,0,0.0,0,0
USA,2018-04-22,0,0,0.0,0,0
USA,2018-04-29,0,0,0.0,0,0
USA,2018-05-06,0,0,0.0,0,0
USA,2018-05-13,126,75,20.720000000000002,195,30270
USA,2018-05-20,0,0,0.0,0,0
USA,2018-05-27,0,0,0.0,0,0
USA,2018-06-03,0,0,0.0,0,0
USA,2018-06-10,114,114,25.55,261,38342
USA,2018-06-17,0,0,0.0,0,0
USA,2018-06-24,334,96,155.52999999999992,121,32288
USA,2018-07-01,25,6,170.0,1,2018
USA,2018-07-08,0,0,0.0,0,0
USA,2018-07-15,0,0,0.0,0,0
USA,2018-07-22,0,0,0.0,0,0
USA,2018-07-29,702,182,110.00000000000003,134,52468
USA,2018-08-05,0,0,0.0,0,0
USA,2018-08-12,0,0,0.0,0,0
USA,2018-08-19,0,0,0.0,0,0
USA,2018-08-26,0,0,0.0,0,0
USA,2018-09-02,0,0,0.0,0,0
USA,2018-09-09,0,0,0.0,0,0
USA,2018-09-16,44,36,38.599999999999994,8,8072
USA,2018-09-23,0,0,0.0,0,0
USA,2018-09-30,0,0,0.0,0,0
USA,2018-10-07,0,0,0.0,0,0
USA,2018-10-14,81,90,14.56,82,18162
USA,2018-10-21,0,0,0.0,0,0
USA,2018-10-28,0,0,0.0,0,0
USA,2018-11-04,0,0,0.0,0,0
USA,2018-11-11,0,0,0.0,0,0
USA,2018-11-18,603,528,117.33000000000003,198,96864
USA,2018-11-25,0,0,0.0,0,0
USA,2018-12-02,0,0,0.0,0,0
USA,2018-12-09,0,0,0.0,0,0
USA,2018-12-16,0,0,0.0,0,0
USA,2018-12-23,0,0,0.0,0,0
USA,2018-12-30,0,0,0.0,0,0
USA,2019-01-06,0,0,0.0,0,0
USA,2019-01-13,0,0,0.0,0,0
USA,2019-01-20,0,0,0.0,0,0
USA,2019-01-27,0,0,0.0,0,0
USA,2019-02-03,0,0,0.0,0,0
USA,2019-02-10,0,0,0.0,0,0
USA,2019-02-17,0,0,0.0,0,0
USA,2019-02-24,0,0,0.0,0,0
USA,2019-03-03,0,0,0.0,0,0
USA,2019-03-10,0,0,0.0,0,0
USA,2019-03-17,0,0,0.0,0,0
USA,2019-03-24,0,0,0.0,0,0
USA,2019-03-31,0,0,0.0,0,0
USA,2019-04-07,0,0,0.0,0,0
USA,2019-04-14,0,0,0.0,0,0
USA,2019-04-21,352,88,74.20000000000002,115,44418
