country,date,day,month,price,timesviewed,year
United Arab Emirates,2017-12-10,399,684,132.71,280,114969
United Arab Emirates,2017-12-17,0,0,0.0,0,0
United Arab Emirates,2017-12-24,0,0,0.0,0,0
United Arab Emirates,2017-12-31,0,0,0.0,0,0
United Arab Emirates,2018-01-07,0,0,0.0,0,0
United Arab Emirates,2018-01-14,0,0,0.0,0,0
United Arab Emirates,2018-01-21,0,0,0.0,0,0
United Arab Emirates,2018-01-28,0,0,0.0,0,0
United Arab Emirates,2018-02-04,0,0,0.0,0,0
United Arab Emirates,2018-02-11,439,174,1118.6300000000003,754,175566
United Arab Emirates,2018-02-18,0,0,0.0,0,0
United Arab Emirates,2018-02-25,1026,108,124.06,527,108972
United Arab Emirates,2018-03-04,0,0,0.0,0,0
United Arab Emirates,2018-03-11,0,0,0.0,0,0
United Arab Emirates,2018-03-18,0,0,0.0,0,0
United Arab Emirates,2018-03-25,1407,201,114.48000000000002,641,135206
United Arab Emirates,2018-04-01,0,0,0.0,0,0
United Arab Emirates,2018-04-08,0,0,0.0,0,0
United Arab Emirates,2018-04-15,0,0,0.0,0,0
United Arab Emirates,2018-04-22,16,4,1.65,4,2018
United Arab Emirates,2018-04-29,0,0,0.0,0,0
United Arab Emirates,2018-05-06,0,0,0.0,0,0
United Arab Emirates,2018-05-13,0,0,0.0,0,0
United Arab Emirates,2018-05-20,0,0,0.0,0,0
United Arab Emirates,2018-05-27,0,0,0.0,0,0
United Arab Emirates,2018-06-03,0,0,0.0,0,0
United Arab Emirates,2018-06-10,0,0,0.0,0,0
United Arab Emirates,2018-06-17,0,0,0.0,0,0
United Arab Emirates,2018-06-24,0,0,0.0,0,0
United Arab Emirates,2018-07-01,0,0,0.0,0,0
United Arab Emirates,2018-07-08,0,0,0.0,0,0
United Arab Emirates,2018-07-15,0,0,0.0,0,0
United Arab Emirates,2018-07-22,0,0,0.0,0,0
United Arab Emirates,2018-07-29,0,0,0.0,0,0
United Arab Emirates,2018-08-05,0,0,0.0,0,0
United Arab Emirates,2018-08-12,0,0,0.0,0,0
United Arab Emirates,2018-08-19,1200,600,194.9,784,151350
United Arab Emirates,2018-08-26,0,0,0.0,0,0
United Arab Emirates,2018-09-02,783,216,35.31,265,54486
United Arab Emirates,2018-09-09,0,0,0.0,0,0
United Arab Emirates,2018-09-16,0,0,0.0,0,0
United Arab Emirates,2018-09-23,0,0,0.0,0,0
United Arab Emirates,2018-09-30,0,0,0.0,0,0
United Arab Emirates,2018-10-07,0,0,0.0,0,0
United Arab Emirates,2018-10-14,88,110,24.18,123,22198
United Arab Emirates,2018-10-21,19,10,1.06,0,2018
United Arab Emirates,2018-10-28,23,10,1.06,14,2018
United Arab Emirates,2018-11-04,0,0,0.0,0,0
United Arab Emirates,2018-11-11,343,539,306.59999999999997,368,98882
United Arab Emirates,2018-11-18,32,22,268.0,2,4036
United Arab Emirates,2018-11-25,0,0,0.0,0,0
United Arab Emirates,2018-12-02,0,0,0.0,0,0
United Arab Emirates,2018-12-09,0,0,0.0,0,0
United Arab Emirates,2018-12-16,0,0,0.0,0,0
United Arab Emirates,2018-12-23,0,0,0.0,0,0
United Arab Emirates,2018-12-30,0,0,0.0,0,0
United Arab Emirates,2019-01-06,0,0,0.0,0,0
United Arab Emirates,2019-01-13,0,0,0.0,0,0
United Arab Emirates,2019-01-20,0,0,0.0,0,0
United Arab Emirates,2019-01-27,0,0,0.0,0,0
United Arab Emirates,2019-02-03,0,0,0.0,0,0
United Arab Emirates,2019-02-10,0,0,0.0,0,0
United Arab Emirates,2019-02-17,330,60,77.57000000000002,310,60570
