country,date,day,month,price,timesviewed,year
United Kingdom,2017-12-03,272154,156303,56101.049999995565,64664,27798294
United Kingdom,2017-12-10,82570,156072,52052.69999999658,60338,26233102
United Kingdom,2017-12-17,168831,157596,61601.77999999629,58149,26489261
United Kingdom,2017-12-24,55536,35232,17485.540000000114,8618,5921912
United Kingdom,2017-12-31,0,0,0.0,0,0
United Kingdom,2018-01-07,14202,3950,12603.630000000243,24955,7971100
United Kingdom,2018-01-14,91336,8985,41099.21999999831,36091,18131730
United Kingdom,2018-01-21,143023,8237,32973.91099999998,35425,16622266
United Kingdom,2018-01-28,197631,8071,56147.110999998484,39641,16287278
United Kingdom,2018-02-04,118963,10386,24796.672000000235,33502,14253134
United Kingdom,2018-02-11,42419,11058,20152.44000000023,26111,11157522
United Kingdom,2018-02-18,108864,14836,27902.812000000373,37232,14969524
United Kingdom,2018-02-25,155325,14288,28373.922000000355,37851,14416592
United Kingdom,2018-03-04,125655,22305,33554.860000000044,45056,17855264
United Kingdom,2018-03-11,51712,21900,31955.739999999987,35626,14731400
United Kingdom,2018-03-18,119348,24501,39694.470999999394,41125,16481006
United Kingdom,2018-03-25,192741,26502,92685.28999999767,44797,17827012
United Kingdom,2018-04-01,196886,21546,29678.680000000197,35558,14493276
United Kingdom,2018-04-08,31193,24612,21763.950000000288,32638,12416754
United Kingdom,2018-04-15,74916,25356,40851.55999999836,35459,12792102
United Kingdom,2018-04-22,168353,37132,59252.05999999773,44552,18733094
United Kingdom,2018-04-29,224417,35564,-18661.43899999981,47835,17942038
United Kingdom,2018-05-06,23791,36350,28000.180000000426,37505,14670860
United Kingdom,2018-05-13,76630,40100,31428.70000000063,40705,16184360
United Kingdom,2018-05-20,133066,40185,30747.85000000076,39422,16218666
United Kingdom,2018-05-27,193789,41305,31700.92000000031,44460,16670698
United Kingdom,2018-06-03,117869,39768,28778.910000000145,31383,14604266
United Kingdom,2018-06-10,63394,60498,49473.5599999987,50588,20347494
United Kingdom,2018-06-17,99409,45522,96622.61999999925,38181,15310566
United Kingdom,2018-06-24,156011,45486,32075.840000000113,35919,15298458
United Kingdom,2018-07-01,191384,47402,27741.830000000416,41696,15714166
United Kingdom,2018-07-08,29467,49651,29211.990000000238,35557,14313674
United Kingdom,2018-07-15,79571,48230,31510.500000000382,34790,13904020
United Kingdom,2018-07-22,137156,51562,-15248.49000000101,40177,14864588
